Rev_Total,Bal_Total,Offer,AGE,CHQ,CARD,SAV1,LOAN,MORT,INSUR,PENS,Check,CD,MM,Savings,AccountAge
$0.97,"$46,950.00",0,32,1,0,0,0,1,0,1,1,0,0,0,8
$1.28,"$38,000.00",0,26,1,0,0,0,1,0,1,1,0,0,0,3
$2.55,"$95,000.00",0,39,0,0,0,0,1,0,1,1,0,0,0,5
$0.37,$150.00,0,43,0,0,1,0,0,1,1,0,0,1,1,2
$0.48,"$6,500.00",0,36,0,0,0,0,1,0,0,1,0,0,0,4
$0.64,$507.36,0,36,1,0,1,1,0,1,0,0,1,1,1,6
$0.48,$647.00,0,41,1,0,1,1,0,1,1,0,1,1,1,4
$1.10,"$13,475.00",0,42,1,0,0,0,1,0,1,1,0,0,0,7
$0.94,"$8,100.00",0,37,1,0,0,0,1,0,0,1,0,0,0,0
$7.27,"$2,320.00",0,41,0,0,0,1,0,0,1,0,1,0,0,4
$3.39,"$7,074.00",1,53,1,0,0,1,0,1,0,0,1,1,1,4
$3.09,"$1,128.00",0,56,1,0,0,1,0,0,1,0,1,0,0,9
$0.90,"$2,287.00",0,60,0,1,0,0,0,1,1,1,0,1,1,11
$1.97,"$21,177.00",0,58,1,0,0,0,1,1,1,1,0,1,1,6
$2.38,"$28,000.00",0,56,1,0,0,0,1,0,1,1,0,0,0,4
$3.88,"$35,000.00",0,49,0,0,0,0,1,0,1,1,0,0,0,8
$1.13,"$37,040.00",0,46,1,0,0,0,1,0,1,1,0,0,0,5
$1.26,"$6,000.00",0,62,1,0,0,1,0,0,1,0,1,0,0,6
$1.94,"$31,390.00",0,33,1,0,1,0,1,0,1,1,0,0,0,2
$0.06,$5.23,0,35,1,0,0,0,0,1,0,0,0,1,1,5
$0.33,$83.00,0,30,1,0,0,0,0,1,0,0,0,1,1,0
$3.33,"$17,182.00",1,35,0,0,0,1,1,0,0,1,1,0,0,8
$3.22,"$2,305.00",0,29,1,0,1,1,0,1,1,0,1,1,1,5
$2.28,"$3,205.49",0,31,1,0,0,1,0,1,1,0,1,1,1,6
$1.56,"$37,500.00",0,44,0,0,0,0,1,0,0,1,0,0,0,5
$6.84,"$65,071.00",0,36,1,0,0,0,1,1,1,1,0,1,1,0
$2.38,$93.00,0,38,0,0,1,0,0,1,0,0,0,1,1,0
$4.17,"$5,476.00",0,42,1,0,0,1,0,0,1,0,1,0,0,4
$0.93,$955.00,0,43,1,1,0,1,1,0,1,1,1,0,0,9
$0.74,"$32,000.00",0,41,0,0,0,0,1,0,0,1,0,0,0,4
$15.02,"$2,559.00",0,42,1,0,0,1,0,1,1,0,1,1,1,5
$5.95,"$1,690.00",0,43,1,0,0,1,0,0,1,0,1,0,0,2
$0.33,"$12,459.17",0,60,0,0,0,0,1,1,1,1,0,1,1,5
$1.53,"$2,920.00",0,49,1,0,1,1,0,0,1,0,1,0,0,9
$14.54,"$10,100.00",0,51,0,0,1,0,0,1,0,0,0,1,1,3
$1.27,"$5,000.00",0,63,1,0,1,0,1,0,1,1,0,0,0,3
$1.21,$201.00,0,61,1,0,0,0,0,1,1,0,0,1,1,8
$0.67,"$31,100.00",0,35,1,0,0,0,1,0,1,1,0,0,0,8
$6.11,"$2,319.00",0,37,1,0,0,1,1,0,1,0,1,0,0,1
$0.11,$3.37,0,37,0,0,0,0,0,1,0,0,0,1,1,2
$0.89,$100.00,0,43,0,0,1,0,0,1,1,0,0,1,1,1
$4.64,"$3,760.00",0,48,1,0,0,1,0,0,0,0,1,0,0,4
$1.26,"$2,784.18",0,53,1,0,0,1,0,1,1,0,1,1,1,4
$2.35,$50.00,0,46,1,0,0,0,0,1,0,0,0,1,1,0
$3.09,"$3,519.00",0,34,1,0,0,1,0,0,1,0,1,0,0,3
$0.95,"$7,386.00",0,28,1,0,1,1,0,0,1,0,1,0,0,4
$12.99,"$11,035.45",0,45,1,1,0,1,1,1,1,1,1,1,1,6
$0.70,"$3,000.00",0,46,1,0,0,1,0,0,1,0,1,0,0,7
$1.95,"$5,227.20",0,30,1,0,1,1,0,1,0,0,1,1,1,2
$1.70,"$3,524.00",0,33,1,0,0,1,1,1,0,0,1,1,1,6
$1.31,"$6,309.00",0,33,1,0,0,0,0,1,1,0,0,1,1,3
$0.52,"$18,000.00",0,37,1,0,0,0,1,0,1,1,0,0,0,0
$5.58,"$6,685.00",0,43,0,0,0,0,0,1,1,0,0,1,1,7
$2.41,"$2,240.00",0,37,1,0,0,1,0,0,0,0,1,0,0,3
$0.19,$43.00,0,40,0,0,0,0,0,1,1,0,0,1,1,1
$0.84,$124.00,0,41,0,0,1,0,0,1,1,0,0,1,1,0
$0.20,$9.46,0,40,1,0,0,0,0,1,1,0,0,1,1,2
$1.71,"$30,000.00",0,42,1,0,0,0,1,0,1,1,0,0,0,9
$12.91,"$91,092.00",0,63,0,0,0,0,1,0,1,1,0,0,0,5
$0.52,$85.00,0,56,1,0,0,0,0,1,0,0,0,1,1,12
$0.05,$8.65,0,50,1,0,0,0,0,1,1,0,0,1,1,3
$2.44,"$4,097.56",0,29,1,0,0,1,0,1,1,0,1,1,1,2
$7.76,"$112,000.00",0,30,1,0,0,0,1,0,0,1,0,0,0,4
$6.78,"$15,219.00",0,32,1,0,0,1,0,0,0,0,1,0,0,5
$2.52,"$1,679.00",0,29,0,0,0,1,0,0,1,0,1,0,0,3
$0.87,$623.29,0,42,1,1,1,1,0,1,1,1,1,1,1,6
$0.63,$138.00,0,37,1,0,0,0,0,1,1,0,0,1,1,7
$0.69,$156.00,1,37,1,0,1,0,0,1,1,0,0,1,1,5
$1.17,"$1,500.00",0,37,1,0,0,1,1,0,1,0,1,0,0,7
$3.43,"$2,111.00",0,44,0,0,0,1,0,0,1,0,1,0,0,3
$1.47,$187.00,0,36,1,0,0,0,0,1,1,0,0,1,1,6
$0.37,$4.96,0,44,0,0,0,0,0,1,0,0,0,1,1,1
$0.64,$72.00,0,36,1,0,0,0,0,1,0,0,0,1,1,2
$0.57,$11.05,1,42,1,0,0,0,0,1,1,0,0,1,1,2
$5.44,"$3,325.00",0,45,0,0,0,1,0,0,1,0,1,0,0,8
$2.33,"$9,495.23",0,57,1,0,0,1,0,1,1,0,1,1,1,7
$0.05,$1.15,0,62,0,0,1,0,0,1,1,0,0,1,1,2
$0.01,$1.46,0,50,1,1,0,0,1,0,1,1,0,0,0,9
$0.51,"$9,700.00",0,56,0,0,0,0,1,0,1,1,0,0,0,7
$1.17,"$16,500.00",0,62,1,0,0,0,1,0,0,1,0,0,0,0
$5.68,"$35,000.00",0,58,1,0,0,0,1,0,0,1,0,0,0,4
$8.95,"$43,176.00",0,53,0,0,0,1,1,0,1,1,1,0,0,5
$0.12,$150.00,0,64,1,0,1,0,1,1,0,0,0,1,1,4
$0.51,$166.00,0,48,1,0,1,0,0,1,1,0,0,1,1,0
$1.10,"$6,325.00",0,47,1,0,0,1,0,0,1,0,1,0,0,8
$1.35,"$5,868.00",0,46,1,0,1,1,0,1,1,0,1,1,1,6
$0.01,$0.25,0,57,1,0,0,0,0,1,1,0,0,1,1,5
$2.37,"$39,500.00",0,77,1,0,1,0,1,0,1,1,0,0,0,1
$1.13,"$5,000.00",0,69,1,0,0,0,1,0,1,1,0,0,0,8
$0.16,$11.31,0,68,1,0,1,0,0,1,0,0,0,1,1,7
$0.72,"$20,000.00",0,76,0,0,1,0,1,0,1,1,0,0,0,6
$0.33,$134.00,0,56,1,0,0,0,0,1,0,0,0,1,1,7
$1.09,"$1,209.00",0,56,1,0,1,1,0,1,0,0,1,1,1,7
$4.77,"$16,454.00",0,62,1,0,0,1,1,0,0,1,1,0,0,9
$0.12,$2.18,1,25,1,0,1,0,0,1,1,0,0,1,1,4
$0.50,$30.00,0,33,0,0,0,0,0,1,1,0,0,1,1,5
$2.00,$504.23,0,33,1,0,1,1,0,1,1,0,1,1,1,6
$0.37,"$1,655.00",0,29,0,0,0,1,0,0,1,0,1,0,0,0
$0.25,$8.33,0,60,1,0,0,0,0,1,1,0,0,1,1,3
$0.40,$20.00,1,35,1,0,0,0,0,1,1,0,0,1,1,5
$5.15,"$46,000.00",0,33,0,0,0,0,1,0,0,1,0,0,0,8
$0.20,$8.34,1,37,1,0,0,0,0,1,0,0,0,1,1,8
$1.04,$98.00,1,24,1,0,0,0,0,1,1,0,0,1,1,9
$1.19,$176.00,0,35,1,1,0,0,0,1,0,1,0,1,1,9
$0.57,$135.00,0,35,1,0,1,0,0,1,1,0,0,1,1,2
$0.27,$20.00,0,29,1,0,0,0,0,1,1,0,0,1,1,6
$1.20,"$2,242.00",0,33,0,0,1,1,0,0,1,0,1,0,0,1
$0.07,$1.79,1,33,1,0,1,0,0,1,1,0,0,1,1,16
$2.75,"$10,186.00",0,33,1,0,1,1,0,0,1,0,1,0,0,9
$0.79,"$1,093.72",0,30,1,0,0,0,1,1,1,0,0,1,1,5
$1.16,"$39,522.00",0,31,1,0,0,0,1,0,0,1,0,0,0,6
$3.04,"$29,233.00",0,35,1,0,0,0,1,0,1,1,0,0,0,6
$2.13,"$25,200.00",1,29,1,0,0,0,1,0,0,1,0,0,0,0
$3.15,"$45,287.00",0,29,1,0,0,0,1,0,0,1,0,0,0,4
$0.40,"$12,000.00",0,35,1,0,1,0,1,0,0,1,0,0,0,7
$3.04,"$2,897.00",0,26,1,0,0,1,0,0,0,0,1,0,0,1
$0.51,$41.00,0,30,1,0,1,0,0,1,0,0,0,1,1,9
$0.72,"$1,212.00",0,32,1,0,0,1,0,0,1,0,1,0,0,6
$7.21,"$47,500.00",0,31,1,0,0,0,1,0,0,1,0,0,0,4
$2.15,"$25,000.00",0,29,1,0,0,0,1,0,0,1,0,0,0,1
$4.80,"$150,000.00",1,32,1,0,0,0,1,0,1,1,0,0,0,4
$1.23,$40.00,0,42,1,0,0,0,0,1,1,0,0,1,1,3
$2.08,$170.00,0,44,1,0,0,0,0,1,1,0,0,1,1,5
$2.96,"$48,025.00",0,43,1,0,1,0,1,0,0,1,0,0,0,8
$0.02,$0.97,0,44,1,1,0,0,0,0,0,1,0,0,0,3
$1.95,"$33,512.00",0,45,0,0,0,0,1,0,0,1,0,0,0,5
$1.47,"$21,500.00",0,40,1,0,0,0,1,0,0,1,0,0,0,0
$3.18,"$28,000.00",0,37,0,0,0,0,1,0,1,1,0,0,0,3
$7.05,"$44,000.00",0,44,1,0,0,0,1,0,1,1,0,0,0,8
$1.64,"$45,000.00",0,43,0,0,1,0,1,0,0,1,0,0,0,5
$0.64,"$17,200.00",1,43,1,0,0,0,1,0,1,1,0,0,0,4
$1.02,"$12,948.00",0,36,1,0,0,0,1,0,1,1,0,0,0,6
$0.98,$303.00,0,40,1,0,0,0,0,1,1,0,0,1,1,6
$1.98,"$34,097.00",0,36,0,0,0,0,1,0,1,1,0,0,0,6
$0.99,"$35,602.00",0,36,1,0,0,0,1,0,0,1,0,0,0,5
$4.33,"$1,171.00",0,43,1,0,1,1,0,1,0,0,1,1,1,5
$12.66,$519.00,0,37,1,0,0,0,0,1,0,0,0,1,1,0
$0.56,"$23,880.00",0,49,1,0,0,0,1,1,0,1,0,1,1,10
$0.48,"$16,000.00",0,51,1,0,0,0,1,0,0,1,0,0,0,7
$0.95,"$52,220.00",1,54,0,0,1,0,1,0,0,1,0,0,0,4
$0.87,"$23,800.00",0,63,0,0,1,0,1,0,0,1,0,0,0,2
$0.11,$10.00,0,60,1,0,1,0,0,1,0,0,0,1,1,11
$0.39,$40.00,1,55,1,0,0,0,0,1,1,0,0,1,1,8
$0.56,"$3,000.00",0,60,0,0,1,0,0,1,1,0,0,1,1,0
$5.54,"$66,557.00",0,51,1,0,1,0,1,0,0,1,0,0,0,4
$2.35,"$32,796.00",0,47,0,0,0,0,1,0,0,1,0,0,0,0
$1.69,"$44,550.00",0,59,1,0,0,0,1,0,1,1,0,0,0,0
$0.71,"$8,000.00",0,50,1,0,0,0,1,0,0,1,0,0,0,8
$1.45,"$12,919.00",0,61,0,0,1,0,1,0,1,1,0,0,0,8
$7.37,"$25,000.00",0,52,1,0,0,0,1,0,0,1,0,0,0,6
$0.91,"$18,087.59",0,61,1,0,1,0,1,1,1,1,0,1,1,10
$1.15,"$22,800.00",0,57,1,0,0,0,1,0,0,1,0,0,0,0
$4.59,"$2,000.00",0,58,1,0,1,0,0,1,1,0,0,1,1,4
$1.55,"$42,845.00",0,55,0,0,0,0,1,0,0,1,0,0,0,5
$2.16,"$3,042.00",0,52,1,0,0,1,0,0,0,0,1,0,0,5
$0.08,$40.00,0,50,0,0,1,0,0,1,1,0,0,1,1,3
$0.49,"$10,040.00",0,63,1,0,1,0,1,1,0,1,0,1,1,3
$0.74,"$25,246.00",0,61,1,0,1,0,1,1,0,1,0,1,1,9
$1.71,"$41,301.00",0,52,0,0,1,0,1,0,0,1,0,0,0,2
$15.08,"$40,002.94",1,49,1,0,0,0,1,1,0,1,0,1,1,10
$0.03,$7.40,0,55,0,0,1,0,0,1,0,0,0,1,1,11
$0.56,$111.64,0,57,1,0,1,0,0,1,1,0,0,1,1,7
$0.77,"$3,470.00",0,54,1,0,0,1,0,0,0,0,1,0,0,8
$0.47,"$9,000.00",0,47,1,0,0,0,1,0,1,1,0,0,0,8
$0.45,$30.00,0,56,1,1,1,0,1,1,0,1,0,1,1,15
$2.89,"$34,955.00",0,51,0,0,1,0,1,0,1,1,0,0,0,3
$0.42,"$15,410.00",0,48,1,0,1,0,1,0,1,1,0,0,0,4
$2.10,"$23,500.00",1,64,1,0,0,0,1,0,1,1,0,0,0,6
$0.85,"$40,100.00",0,49,1,0,0,0,1,0,0,1,0,0,0,0
$0.74,"$8,500.00",0,51,1,0,1,0,1,0,1,1,0,0,0,7
$0.75,"$12,000.00",0,49,0,0,1,0,1,0,0,1,0,0,0,4
$0.45,"$1,668.00",0,60,0,0,0,1,0,0,1,0,1,0,0,7
$6.60,"$1,654.00",0,65,1,0,0,1,0,0,1,0,1,0,0,4
$1.47,"$1,950.00",0,60,1,0,0,1,0,0,0,0,1,0,0,10
$2.07,$561.98,0,47,0,0,0,1,0,1,1,0,1,1,1,5
$0.85,"$1,658.00",0,25,1,0,0,1,0,0,0,0,1,0,0,2
$0.36,$153.00,0,30,1,0,0,0,0,1,1,0,0,1,1,1
$0.79,$135.00,0,29,1,0,0,0,0,1,1,0,0,1,1,5
$2.74,"$36,172.00",0,33,1,0,0,0,1,0,0,1,0,0,0,7
$1.54,"$38,000.00",0,26,1,0,0,0,1,0,1,1,0,0,0,4
$2.00,"$17,100.00",0,32,1,0,1,0,1,0,0,1,0,0,0,7
$1.04,"$11,250.00",0,35,1,0,0,0,1,0,1,1,0,0,0,0
$0.55,$138.00,0,31,1,0,0,0,0,1,1,0,0,1,1,6
$3.75,"$28,078.00",0,39,1,0,0,0,1,0,0,1,0,0,0,3
$1.12,"$27,000.00",0,40,1,0,1,0,1,0,0,1,0,0,0,4
$2.24,"$33,269.00",0,37,1,0,0,0,1,0,1,1,0,0,0,9
$0.37,"$6,000.00",0,37,0,0,0,0,1,0,0,1,0,0,0,7
$0.22,$1.23,0,38,0,0,1,0,0,1,1,0,0,1,1,5
$0.51,"$10,000.00",0,37,0,0,0,0,1,0,0,1,0,0,0,3
$1.53,"$39,000.00",0,39,0,0,0,0,1,0,0,1,0,0,0,4
$1.35,"$10,857.00",0,40,1,0,0,0,1,0,1,1,0,0,0,8
$2.77,"$36,153.04",0,40,0,0,1,0,1,1,1,1,0,1,1,5
$1.80,"$60,000.00",0,43,1,0,0,0,1,0,0,1,0,0,0,0
$1.09,"$40,000.00",0,36,1,0,0,0,1,0,0,1,0,0,0,7
$0.01,$0.11,0,64,0,1,0,0,0,0,0,1,0,0,0,3
$4.80,"$19,600.00",1,61,0,0,0,0,1,0,1,1,0,0,0,0
$2.47,"$33,859.00",0,56,1,0,1,0,1,0,0,1,0,0,0,5
$0.90,"$35,501.00",0,55,0,0,1,0,1,0,1,1,0,0,0,5
$0.74,"$13,000.00",0,63,1,0,0,0,1,0,1,1,0,0,0,8
$3.58,"$9,900.00",0,58,1,0,0,0,1,0,1,1,0,0,0,0
$0.42,"$11,050.00",0,63,1,0,0,0,1,1,0,1,0,1,1,12
$1.15,"$58,678.00",0,48,1,0,1,0,1,0,1,1,0,0,0,8
$3.40,"$3,254.00",0,48,1,0,1,0,0,1,1,0,0,1,1,6
$0.18,$36.00,0,56,0,0,1,0,0,1,1,0,0,1,1,3
$1.90,"$32,950.00",0,56,1,0,1,0,1,0,1,1,0,0,0,4
$1.13,"$33,300.00",0,54,0,0,0,0,1,0,1,1,0,0,0,8
$0.89,$30.00,0,64,1,0,0,0,0,1,0,0,0,1,1,4
$0.64,"$50,000.00",0,53,1,0,0,0,1,0,1,1,0,0,0,6
$0.60,$179.00,0,25,1,0,1,0,0,1,0,0,0,1,1,5
$1.99,"$36,006.00",0,30,1,0,0,1,1,0,1,1,1,0,0,3
$1.11,"$15,000.00",0,26,1,0,0,0,1,0,0,1,0,0,0,4
$0.68,$195.52,0,38,1,1,0,0,1,1,0,1,0,1,1,11
$1.54,$184.00,0,42,1,0,0,0,0,1,0,0,0,1,1,8
$1.61,"$55,000.00",0,37,1,0,0,0,1,0,1,1,0,0,0,3
$1.83,"$6,150.00",0,36,1,0,0,0,1,0,0,1,0,0,0,0
$4.36,"$6,239.00",0,39,1,0,0,0,0,1,1,0,0,1,1,4
$0.81,"$39,000.00",0,37,0,0,0,0,1,0,0,1,0,0,0,7
$0.30,$15.34,1,47,1,0,0,0,0,1,1,0,0,1,1,5
$0.29,$9.09,0,50,0,0,1,0,0,1,0,0,0,1,1,3
$3.57,"$18,572.00",0,58,0,0,0,0,1,0,1,1,0,0,0,4
$1.78,"$24,500.00",0,54,1,0,0,0,1,0,1,1,0,0,0,0
$4.43,"$50,278.00",1,47,1,0,1,0,1,1,1,1,0,1,1,6
$0.43,$50.00,1,50,1,0,0,0,0,1,0,0,0,1,1,6
$12.88,"$4,633.00",0,56,1,0,0,1,0,0,1,0,1,0,0,8
$1.55,$252.00,1,64,1,0,1,0,0,1,0,0,0,1,1,8
$0.91,$20.00,1,47,1,0,0,0,0,1,1,0,0,1,1,5
$3.05,"$12,002.00",0,50,1,0,1,0,1,1,1,1,0,1,1,8
$0.05,$0.17,0,21,0,0,1,0,0,1,1,0,0,1,1,2
$2.20,"$2,802.00",0,25,1,0,0,1,0,0,0,0,1,0,0,5
$0.46,$4.30,0,29,1,0,0,0,0,1,0,0,0,1,1,12
$0.22,$20.00,0,28,1,0,0,0,0,1,1,0,0,1,1,10
$0.03,$2.69,0,28,0,0,1,0,0,1,1,0,0,1,1,2
$1.66,"$51,000.00",0,34,1,0,0,0,1,0,1,1,0,0,0,7
$0.63,$41.00,0,34,1,0,0,0,0,1,0,0,0,1,1,6
$1.52,"$16,524.00",0,34,1,0,0,0,1,0,0,1,0,0,0,6
$0.58,"$7,500.00",0,34,0,0,0,0,1,0,0,1,0,0,0,6
$1.05,"$30,000.00",0,33,1,0,0,0,1,0,0,1,0,0,0,1
$2.13,"$56,911.00",0,34,1,0,1,0,1,0,1,1,0,0,0,8
$0.58,"$25,345.00",0,35,1,0,0,0,1,0,0,1,0,0,0,7
$0.71,$115.00,0,34,1,0,0,0,0,1,1,0,0,1,1,5
$1.73,"$28,000.00",0,30,1,0,0,0,1,0,1,1,0,0,0,9
$0.53,$121.00,0,28,1,0,1,0,0,1,1,0,0,1,1,6
$1.38,$153.00,0,28,1,0,0,0,0,1,1,0,0,1,1,0
$5.44,"$5,319.00",0,35,1,0,0,1,0,0,0,0,1,0,0,8
$1.59,"$2,539.00",0,33,1,0,1,1,0,0,1,0,1,0,0,6
$0.39,"$24,500.00",0,34,1,0,0,0,1,0,0,1,0,0,0,5
$1.24,"$48,000.00",0,31,1,0,0,0,1,0,0,1,0,0,0,2
$0.89,"$29,700.00",0,32,1,0,0,0,1,0,1,1,0,0,0,0
$3.33,$551.00,0,32,1,0,0,1,0,0,1,0,1,0,0,4
$2.03,"$2,095.00",0,33,1,0,0,1,0,0,1,0,1,0,0,4
$0.30,"$1,394.00",0,43,1,0,0,1,0,0,1,0,1,0,0,1
$0.32,$4.75,0,41,1,0,0,0,0,1,1,0,0,1,1,7
$1.60,"$64,275.00",0,39,1,0,0,0,1,0,1,1,0,0,0,3
$2.55,"$26,500.00",0,44,1,0,0,0,1,0,1,1,0,0,0,0
$1.89,"$18,500.00",0,41,1,0,0,1,1,0,0,1,1,0,0,3
$2.61,"$15,000.00",0,38,0,0,0,0,1,0,0,1,0,0,0,8
$0.09,"$7,575.00",1,41,1,0,0,0,1,0,0,1,0,0,0,4
$0.21,"$29,200.00",0,37,1,0,1,1,1,0,1,1,1,0,0,6
$0.92,"$28,000.00",0,41,1,0,0,0,1,0,1,1,0,0,0,9
$0.43,"$15,056.00",0,37,1,0,0,0,1,1,1,1,0,1,1,9
$2.19,"$22,500.00",1,40,0,0,0,0,1,0,1,1,0,0,0,6
$5.63,"$27,591.00",0,44,1,0,1,0,1,1,1,1,0,1,1,3
$1.62,"$24,404.00",0,40,1,0,1,0,1,0,0,1,0,0,0,8
$0.18,$21.00,0,42,1,0,0,0,0,1,1,0,0,1,1,7
$8.19,"$5,779.00",0,42,1,0,1,1,1,0,0,0,1,0,0,8
$0.25,$100.00,0,42,0,0,1,0,0,1,0,0,0,1,1,11
$1.02,"$25,500.00",0,40,1,0,0,0,1,0,0,1,0,0,0,8
$2.19,"$16,828.46",0,40,1,0,0,0,1,1,1,1,0,1,1,12
$1.05,$555.24,0,36,1,0,0,1,0,1,0,0,1,1,1,3
$0.52,$556.00,0,38,1,0,0,1,0,0,1,0,1,0,0,6
$0.11,$30.00,0,36,1,0,0,0,0,1,1,0,0,1,1,5
$3.58,"$30,000.00",0,36,1,0,0,0,1,0,0,1,0,0,0,0
$1.08,"$23,413.00",0,37,1,0,0,0,1,0,0,1,0,0,0,5
$1.22,"$11,000.00",0,36,0,0,0,0,1,0,1,1,0,0,0,7
$0.63,"$33,000.00",1,38,0,0,0,0,1,0,1,1,0,0,0,8
$0.33,"$12,937.00",1,44,1,0,0,0,1,0,0,1,0,0,0,0
$2.16,"$43,058.29",0,45,1,0,0,0,1,1,0,1,0,1,1,8
$0.16,$4.12,1,42,0,0,0,0,0,1,1,0,0,1,1,16
$0.52,$6.74,0,42,1,0,0,0,0,1,1,0,0,1,1,6
$0.71,$40.00,0,39,1,0,0,0,1,1,0,0,0,1,1,10
$0.10,$0.82,0,41,1,0,1,0,0,1,0,0,0,1,1,5
$0.70,$200.00,0,38,1,0,1,0,0,1,1,0,0,1,1,10
$0.03,$0.91,0,46,0,1,0,0,0,0,1,1,0,0,0,3
$2.00,"$10,178.00",0,53,1,0,0,0,1,0,1,1,0,0,0,0
$1.30,"$25,000.00",0,63,0,0,1,0,1,0,0,1,0,0,0,4
$7.20,"$15,887.00",0,60,1,0,0,0,1,1,0,1,0,1,1,5
$3.57,"$18,237.00",0,47,1,0,0,1,1,0,1,1,1,0,0,8
$1.75,"$43,200.00",0,53,1,0,1,0,1,0,0,1,0,0,0,6
$3.70,"$15,400.00",0,63,0,0,1,0,1,0,1,1,0,0,0,4
$1.57,"$9,500.00",0,47,1,0,0,0,1,0,0,1,0,0,0,0
$0.56,$556.00,0,60,0,1,0,1,0,0,0,1,1,0,0,5
$3.43,"$11,483.00",0,47,1,0,0,1,0,0,1,0,1,0,0,5
$1.35,$689.00,0,49,1,1,1,1,0,1,1,1,1,1,1,9
$1.73,$559.00,0,51,1,0,0,1,0,0,1,0,1,0,0,2
$0.26,$4.23,0,64,0,0,1,0,0,1,0,0,0,1,1,5
$2.50,"$40,868.00",0,50,1,0,0,0,1,0,0,1,0,0,0,7
$1.15,"$15,000.00",0,56,1,0,0,0,1,0,0,1,0,0,0,8
$0.95,"$28,938.00",0,61,1,0,1,0,1,0,1,1,0,0,0,7
$8.71,"$30,013.00",0,54,0,0,0,0,1,0,0,1,0,0,0,4
$3.26,"$34,725.00",0,49,0,0,0,0,1,0,0,1,0,0,0,6
$2.96,"$34,500.00",0,58,0,0,0,0,1,0,1,1,0,0,0,4
$1.13,"$4,500.00",0,53,1,0,0,0,1,0,0,1,0,0,0,7
$3.35,"$11,028.96",0,53,1,1,0,1,1,1,1,1,1,1,1,13
