current_age,retirement_age,birth_month,gender,yearly_income,total_debt,credit_score,Credit_limit,Debit_limit,Debit (Prepaid)_limit,Credit_expires,Debit_expires,Debit (Prepaid)_expires,has_chip,num_credit_cards,Automotive & Transportation Services,Clothing & Fashion,Digital Goods & Computers,Electronics & Appliances,Freight & Trucking,Hotels & Accommodation,Legal & Financial Services,Machinery & Tools,Medical & Healthcare Services,Movies & Theaters,Postal Services - Government Only,Rail & Bus Transport,Restaurants & Eating Places,Retail Stores,Sports & Recreational Activities,Steel & Metal Products,Telecommunications & Media,Utilities & Home Services,Label_Rewards_Credit_Card,Label_Insurance_Solutions,Label_Digital_Financing,Label_Home_Improvement_Loan,Label_Auto_Vehicle_Financing,Label_Commodity_Investment_Services,Label_Travel_Rewards_Card,Label_Savings_Investment_Plans,Label_Wealth_Management_Savings,Label_Card_Upgrade,Label_Retention_Efforts
41.0,55.0,8.0,1.0,51854.0,72162.0,737.0,0.0,10775.0,105.0,0.0,2023.0,2020.0,1.0,2.0,4811.06,1071.83,122.7,644.89,59.89,577.19,2196.31,3971.29,3840.9,812.32,137.03,0.0,12809.16,12366.54,195.34,1863.46,18992.97,3818.55,1,3,2,1,1,1,1,2,1,1,2
20.0,64.0,6.0,1.0,48495.0,97630.0,773.0,0.0,51521.0,0.0,0.0,2024.0,0.0,0.0,3.0,5614.35,988.01,165.57,316.28,281.07,495.68,1184.78,1839.85,9882.45,1865.71,160.43,1198.3,4637.59,22585.85,599.36,1450.04,4229.77,3837.71,3,2,2,2,3,1,2,1,1,2,1
31.0,63.0,6.0,1.0,50242.0,84457.0,722.0,0.0,27531.0,0.0,0.0,2021.0,0.0,0.0,2.0,4848.39,1348.79,150.14,181.74,172.11,303.13,722.21,1141.82,8551.67,686.78,110.2,639.28,5901.83,20058.76,3094.24,295.0,3782.7,2331.32,1,3,1,1,1,0,1,1,0,1,1
41.0,60.0,7.0,0.0,34690.0,48954.0,683.0,0.0,47510.0,0.0,2024.0,2022.0,0.0,1.0,4.0,5968.41,2420.97,178.18,247.86,223.58,3110.01,3210.84,2882.02,3137.47,1009.29,9.6,890.27,371.0,12183.11,312.62,1470.69,2011.84,3599.79,2,1,1,0,1,1,2,1,1,1,1
45.0,64.0,12.0,0.0,40006.0,72794.0,621.0,0.0,3711.0,0.0,0.0,2024.0,0.0,1.0,1.0,4123.99,177.42,73.78,34.65,294.38,221.6,227.25,240.73,3714.21,185.68,29.69,22267.79,971.07,6302.3,2067.77,329.28,2672.29,4020.89,1,1,0,1,0,0,1,1,0,1,3
54.0,67.0,5.0,0.0,61740.0,126015.0,583.0,16900.0,1325.0,0.0,2023.0,2012.0,0.0,1.0,2.0,8885.59,1261.11,235.77,456.66,13.49,1789.81,127.38,792.76,6294.08,669.89,0.0,17290.33,16970.64,22287.57,126.69,0.0,5303.62,5658.54,1,2,2,2,2,1,2,1,0,1,3
71.0,74.0,6.0,1.0,29243.0,30686.0,726.0,8200.0,1604.0,58.0,2023.0,2021.0,2021.0,1.0,4.0,1097.68,163.65,185.35,100.63,0.0,0.0,0.0,632.0,2487.64,328.99,0.0,0.0,1649.55,3501.24,43.86,46.43,4860.0,1750.18,1,1,1,0,0,0,1,1,0,1,2
38.0,70.0,3.0,1.0,27183.0,58323.0,637.0,0.0,0.0,83.0,0.0,2.2737367544323206e-13,2021.0,1.0,1.0,2853.89,493.74,76.79,258.42,88.96,129.43,151.72,1120.94,2881.62,756.41,31.68,411.24,2780.61,7504.69,348.47,514.58,1338.63,2293.37,0,0,0,0,0,0,0,1,0,0,2
78.0,66.0,11.0,0.0,8526.0,3723.0,684.0,11900.0,10776.0,0.0,2021.0,2020.0,0.0,1.0,3.0,1376.29,385.89,158.14,154.19,344.23,927.01,977.32,691.69,1462.91,439.67,0.0,0.0,8009.97,2532.26,0.0,68.96,4461.67,2980.4,2,1,0,0,0,1,2,2,0,0,0
26.0,66.0,8.0,0.0,61104.0,79486.0,721.0,48600.0,35702.0,0.0,2024.0,2023.0,0.0,0.0,4.0,3372.99,997.04,123.99,215.29,60.55,819.49,3698.32,1259.35,4497.7,951.3,46.94,271.54,1649.22,10102.44,227.6,284.44,4063.52,2902.0,1,2,1,1,1,1,2,0,1,3,1
85.0,67.0,12.0,1.0,38194.0,1674.0,680.0,3400.0,29722.0,0.0,2022.0,2020.0,0.0,1.0,3.0,2707.91,727.54,106.82,131.36,11.18,249.66,0.0,568.55,2317.0,574.91,0.0,2493.71,77.02,4497.34,96.18,1260.89,18111.28,1145.38,1,0,1,0,0,2,1,3,0,1,1
61.0,67.0,1.0,0.0,63781.0,111808.0,654.0,0.0,0.0,44.0,0.0,2.2737367544323206e-13,2023.0,1.0,1.0,2190.11,78.15,0.0,26.46,17.97,0.0,0.0,169.63,542.99,35.74,0.0,1207.35,1105.01,3251.9,70.56,59.62,151.36,107.89,0,1,1,1,1,1,1,2,0,1,3
62.0,66.0,6.0,1.0,53996.0,98211.0,632.0,0.0,32228.0,165.0,0.0,2022.0,2023.0,1.0,4.0,5625.41,562.15,0.0,631.86,337.96,867.39,1299.15,1227.44,4794.0,311.89,241.94,2586.21,2535.78,8225.11,18.78,1478.31,5121.27,3627.36,1,2,1,1,2,1,3,2,0,1,1
47.0,62.0,9.0,1.0,25434.0,45540.0,712.0,10500.0,12527.0,100.0,2021.0,2024.0,2021.0,1.0,4.0,5185.13,1096.79,0.0,9.12,0.0,0.0,51.04,206.35,5716.27,1027.4,0.0,176.61,1812.11,13708.39,50.15,0.0,3448.94,560.46,2,2,0,0,0,0,1,1,0,1,1
69.0,63.0,4.0,1.0,16541.999999999996,36831.0,733.0,0.0,25117.0,79.0,0.0,2024.0,2021.0,1.0,3.0,2953.48,750.09,73.82,24.26,0.0,656.77,2550.84,537.16,5672.6,177.41,0.0,168.62,518.74,5642.03,91.02,852.42,3236.01,3692.36,1,2,0,0,0,0,1,2,1,1,1
38.0,74.0,6.0,1.0,38663.0,59053.0,686.0,0.0,49313.0,0.0,0.0,2024.0,0.0,1.0,3.0,2827.88,1277.99,188.57,260.94,63.46,283.48,622.71,1263.22,3351.37,812.48,10.35,324.18,2987.25,7224.98,878.87,214.79,4236.37,2824.48,1,0,1,0,0,0,1,1,0,1,1
68.0,72.0,7.0,0.0,39238.0,85457.0,702.0,12700.0,64867.0,0.0,2023.0,2021.0,0.0,0.0,4.0,2108.2,1115.34,183.07,79.28,145.76,261.98,0.0,752.22,3002.44,192.21,75.24,293.08,2623.74,5872.14,197.94,599.57,2027.59,4579.39,1,0,1,1,0,0,1,2,0,2,1
29.0,67.0,2.0,0.0,51303.0,106248.0,688.0,19100.0,27124.0,0.0,2023.0,2020.0,0.0,1.0,3.0,2174.39,1733.44,145.68,0.0,262.8,307.89,1544.28,604.49,9040.78,3466.16,0.0,753.23,6078.73,12705.5,213.21,799.79,3832.87,1754.48,2,2,1,1,1,0,2,0,0,2,1
56.0,66.0,4.0,0.0,63796.0,82173.0,730.0,0.0,67348.0,0.0,0.0,2023.0,0.0,1.0,3.0,13347.57,2470.16,10.84,965.51,727.7,509.72,4797.47,2296.72,26467.82,6148.35,113.98,3685.09,22074.0,59277.43,436.35,561.27,1116.06,4474.52,2,3,1,2,2,2,2,2,1,1,1
49.0,68.0,12.0,0.0,39700.0,59062.0,701.0,14800.0,16923.0,49.0,2020.0,2024.0,2009.0,0.0,3.0,13817.43,563.01,0.0,172.64,65.79,153.7,925.43,1277.65,4424.15,645.26,9.3,22432.35,719.63,21241.39,59.46,1755.04,7934.53,498.52,2,0,1,0,1,1,2,0,0,2,1
21.0,68.0,4.0,0.0,44160.0,134173.0,696.0,0.0,30588.0,72.99999999999999,0.0,2023.0,2020.0,1.0,3.0,7211.44,1136.1,42.89,321.36,122.38,888.26,815.37,1058.6,6923.26,1248.06,70.61,4205.73,7185.85,20109.7,1940.23,455.66,11807.06,2550.27,2,2,2,1,2,0,3,1,0,1,1
61.0,68.0,3.0,0.0,44583.0,85531.0,717.0,10300.0,46140.0,0.0,2015.0,2022.0,0.0,1.0,5.0,1079.86,511.75,0.0,845.23,200.02,851.88,131.67,2406.77,1939.93,4.3,0.0,1934.66,10881.87,2915.14,121.1,1346.19,2977.75,2611.5,2,2,1,1,1,1,3,2,0,1,1
22.0,73.0,2.0,0.0,21490.000000000004,32587.0,682.0,12700.0,0.0,0.0,2024.0,2.2737367544323206e-13,0.0,1.0,2.0,2562.36,933.11,297.25,390.11,67.99,340.48,1577.44,1885.24,3610.37,941.51,30.21,2246.88,1733.5,9883.71,561.8,879.83,4420.18,3376.8,0,0,1,0,0,1,0,0,0,1,3
28.0,66.0,2.0,0.0,43826.0,84935.0,823.0,0.0,17614.0,0.0,0.0,2020.0,0.0,1.0,1.0,3842.03,789.63,111.44,48.6,25.92,3002.2,1342.03,2785.81,4133.32,1369.79,13.0,440.97,1943.08,17113.57,1224.29,305.02,10558.42,1769.1,2,1,3,2,2,1,2,1,1,0,1
38.0,66.0,4.0,0.0,52512.0,95640.0,706.0,0.0,41193.0,0.0,0.0,2024.0,0.0,1.0,2.0,4392.56,2103.26,0.0,1059.97,96.03,1049.33,4524.46,1722.77,1795.27,282.2,130.57,23414.69,1346.69,2803.72,214.68,1651.34,1922.35,5010.95,1,2,1,2,1,1,2,1,1,1,2
85.0,69.0,8.0,0.0,25066.0,424.0,695.0,24900.0,33546.0,56.0,2021.0,2020.0,2021.0,1.0,7.0,2984.41,975.36,0.0,0.0,0.0,0.0,1049.81,294.98,6084.4,253.9,0.0,202.98,428.36,11100.65,253.92,0.0,3783.15,3691.16,1,1,0,0,0,1,1,2,0,1,0
47.0,64.0,8.0,0.0,34057.0,59247.0,655.0,6400.0,21392.0,45.0,2020.0,2020.0,2024.0,1.0,4.0,8580.06,470.69,101.26,241.14,263.88,1199.08,2090.69,772.83,10497.42,494.47,189.69,252.01,1485.21,25116.06,223.32,2442.69,4347.22,3115.36,2,1,0,0,1,1,2,1,1,1,1
44.0,65.0,2.0,0.0,93406.0,151935.0,801.0,25200.0,47142.0,0.0,2024.0,2021.0,0.0,1.0,3.0,4603.12,1278.29,0.0,434.94,81.19,2144.01,4524.02,6246.35,5206.59,1387.08,30.49,884.28,10683.56,21133.25,1077.71,1900.21,4640.98,10510.62,3,2,2,3,2,2,3,1,2,2,1
78.0,68.0,11.0,0.0,22290.000000000004,9235.0,716.0,0.0,60445.0,0.0,0.0,2024.0,0.0,0.0,6.0,4032.63,1873.89,0.0,216.51,322.05,184.23,1514.62,587.44,1060.15,463.07,21.86,337.24,14009.99,6494.02,148.9,1449.99,873.43,5391.35,2,2,0,1,0,2,1,3,0,2,1
40.0,64.0,12.0,1.0,35418.0,51741.0,660.0,6600.0,72663.0,66.0,2020.0,2024.0,2024.0,0.0,6.0,4826.65,2755.45,1156.27,507.69,0.0,0.0,0.0,366.31,1509.19,576.75,0.0,955.33,2058.44,8731.2,120.39,140.76,5531.49,3170.62,2,0,1,0,0,0,1,1,0,2,1
39.0,68.0,3.0,0.0,51465.0,0.0,702.0,12200.0,17612.0,0.0,2020.0,2024.0,0.0,1.0,2.0,1537.18,1696.57,85.17,528.73,1555.11,625.3,0.0,2041.36,1846.26,234.15,154.66,8734.82,4793.28,6466.24,8716.95,1449.3,10099.58,6355.31,1,2,2,2,1,2,2,1,0,1,2
51.0,72.0,10.0,0.0,34517.0,74143.0,645.0,0.0,18518.0,0.0,0.0,2024.0,0.0,1.0,2.0,3245.47,2118.56,0.0,437.97,29.67,169.96,5541.54,62.01,5099.39,1150.86,59.28,127.76,2500.84,6130.22,14.52,2312.24,3493.76,2395.0,1,0,0,0,0,1,0,1,1,1,2
20.0,71.0,6.0,0.0,31314.0,40331.0,721.0,14300.0,41724.0,0.0,2020.0,2024.0,0.0,1.0,4.0,7508.36,676.32,116.24,361.42,121.3,230.96,663.65,1638.43,3156.46,1181.69,23.67,1201.64,1557.26,7368.0,1149.98,832.86,7295.89,1714.48,2,1,0,0,1,0,1,1,0,1,1
23.0,65.0,4.0,0.0,47639.0,0.0,732.0,17300.0,3334.0,0.0,2022.0,2021.0,0.0,1.0,2.0,2955.2,1042.76,51.27,299.66,357.91,744.71,1006.85,1352.04,3233.49,648.57,46.94,2226.23,1535.64,8783.37,1995.28,1166.06,12682.48,3466.4,1,3,2,1,1,2,1,1,0,1,3
42.0,70.0,10.0,1.0,41997.0,0.0,704.0,25700.0,21587.0,0.0,2022.0,2013.0,0.0,1.0,3.0,5079.53,1189.85,0.0,214.51,0.0,1660.75,2700.59,890.31,8096.52,585.51,0.0,1094.22,3886.17,20180.01,966.1,481.52,20652.79,1802.27,2,2,2,1,1,1,3,1,1,2,1
54.0,67.0,10.0,0.0,38318.0,93284.0,748.0,24000.0,52340.0,0.0,2022.0,2024.0,0.0,1.0,6.0,2245.03,1101.12,0.0,473.82,90.63,0.0,1304.79,1457.92,2164.33,1897.05,83.46,495.52,284.1,7374.4,276.9,187.24,4335.12,1490.74,2,2,0,0,0,0,1,2,0,2,1
20.0,64.0,2.0,1.0,63292.0,145756.0,635.0,0.0,30637.0,0.0,0.0,2021.0,0.0,0.0,1.0,4939.57,839.72,181.66,398.28,187.58,235.05,2021.98,1349.08,4345.67,687.59,85.83,3455.12,3427.25,11789.58,3391.42,549.0,4012.08,2956.72,1,2,2,1,1,1,1,1,1,1,1
39.0,69.0,5.0,1.0,32801.0,44496.0,701.0,9100.0,0.0,69.0,2012.0,2.2737367544323206e-13,2022.0,1.0,2.0,5313.42,984.06,105.4,316.35,119.57,515.54,1298.89,1694.18,3951.26,905.02,26.52,7089.76,2193.96,10292.14,451.5,843.42,4599.77,3642.96,0,0,0,0,1,0,1,0,0,1,3
37.0,66.0,12.0,1.0,41401.0,71180.0,580.0,14300.0,0.0,0.0,2024.0,2.2737367544323206e-13,0.0,1.0,1.0,3104.03,764.37,68.96,571.2,67.27,620.94,1355.32,1118.19,3020.55,540.52,11.55,1283.19,5853.08,7136.87,1523.31,436.87,6377.18,2924.46,1,1,1,1,1,0,1,0,0,1,3
48.0,73.0,12.0,1.0,53478.0,73030.0,674.0,26200.0,17252.0,0.0,2023.0,2024.0,0.0,0.0,3.0,951.58,5452.64,236.78,135.9,203.83,256.22,860.08,2256.72,5335.46,1825.1,0.0,1158.95,936.12,12196.87,0.0,2006.23,15615.88,4191.07,2,2,2,2,1,1,2,0,0,3,1
54.0,74.0,5.0,0.0,41957.0,151027.0,783.0,0.0,52996.0,0.0,0.0,2022.0,0.0,0.0,3.0,2413.57,266.2,0.0,0.0,162.51,0.0,171.49,0.0,1091.64,201.73,0.0,0.0,12376.69,1654.49,20.6,995.01,3144.79,4958.12,3,1,2,3,2,0,2,1,1,2,1
80.0,66.0,12.0,0.0,22326.0,1620.0,564.0,18700.0,37919.0,0.0,2024.0,2023.0,0.0,0.0,4.0,1146.87,200.7,0.0,113.9,269.54,112.74,114.86,2702.12,4430.19,1331.07,216.07,12473.12,777.96,7437.33,653.67,0.0,4898.77,4386.6,2,1,0,1,0,2,2,3,0,3,1
22.0,63.0,8.0,0.0,51613.0,62635.0,649.0,1500.0,6513.0,0.0,2021.0,2024.0,0.0,1.0,2.0,5022.16,790.79,169.04,264.33,71.15,242.84,635.13,1066.13,7234.94,600.01,29.3,4022.51,2790.84,17767.9,631.83,328.49,4093.35,2255.08,1,2,1,1,1,0,1,1,0,1,3
