current_age,retirement_age,birth_month,gender,yearly_income,total_debt,credit_score,num_credit_cards,Credit_limit,Debit_limit,Debit (Prepaid)_limit,Credit_expires,Debit_expires,Debit (Prepaid)_expires,has_chip,Automotive & Transportation Services,Clothing & Fashion,Digital Goods & Computers,Electronics & Appliances,Freight & Trucking,Hotels & Accommodation,Legal & Financial Services,Machinery & Tools,Medical & Healthcare Services,Movies & Theaters,Postal Services - Government Only,Rail & Bus Transport,Restaurants & Eating Places,Retail Stores,Sports & Recreational Activities,Steel & Metal Products,Telecommunications & Media,Utilities & Home Services
29,67,2,0,51303.0,106248.0,688,3,19100.0,27124.0,0.0,2023.0,2020.0,0.0,1,2174.39,1733.44,145.68,0.0,262.8,307.89,1544.28,604.49,9040.78,3466.16,0.0,753.23,6078.73,12705.5,213.20999999999998,799.7900000000001,3832.87,1754.48
56,66,4,0,63796.0,82173.0,730,3,0.0,67348.0,0.0,0.0,2023.0,0.0,1,13347.57,2470.16,10.84,965.51,727.7,509.72,4797.47,2296.7200000000003,26467.82,6148.35,113.98,3685.09,22074.0,59277.43,436.35,561.27,1116.06,4474.52
49,68,12,0,39700.0,59062.0,701,3,14800.0,16923.0,49.0,2020.0,2024.0,2009.0,0,13817.43,563.01,0.0,172.64,65.78999999999999,153.7,925.43,1277.65,4424.15,645.26,9.3,22432.35,719.63,21241.39,59.46,1755.04,7934.53,498.52
21,68,4,0,44160.0,134173.0,696,3,0.0,30588.0,73.0,0.0,2023.0,2020.0,1,,,,,,,,,,,,,,,,,,
61,68,3,0,44583.0,85531.0,717,5,10300.0,46140.0,0.0,2015.0,2022.0,0.0,1,1079.86,511.75,0.0,845.23,200.02,851.88,131.67,2406.77,1939.93,4.3,0.0,1934.66,10881.87,2915.14,121.1,1346.19,2977.75,2611.5
22,73,2,0,21490.0,32587.0,682,2,12700.0,0.0,0.0,2024.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
28,66,2,0,43826.0,84935.0,823,1,0.0,17614.0,0.0,0.0,2020.0,0.0,1,3842.0299999999997,789.63,111.44,48.6,25.92,3002.2,1342.03,2785.81,4133.32,1369.79,13.0,440.97,1943.08,17113.57,1224.29,305.02,10558.42,1769.1
38,66,4,0,52512.0,95640.0,706,2,0.0,41193.0,0.0,0.0,2024.0,0.0,1,4392.56,2103.26,0.0,1059.97,96.03,1049.33,4524.46,1722.77,1795.27,282.2,130.57,23414.69,1346.69,2803.72,214.68,1651.34,1922.35,5010.95
85,69,8,0,25066.0,424.0,695,7,24900.0,33546.0,56.0,2021.0,2020.0,2021.0,1,2984.41,975.36,0.0,0.0,0.0,0.0,1049.81,294.98,6084.4,253.9,0.0,202.98000000000002,428.36,11100.65,253.92,0.0,3783.15,3691.16
47,64,8,0,34057.0,59247.0,655,4,6400.0,21392.0,45.0,2020.0,2020.0,2024.0,1,8580.06,470.69,101.26,241.14,263.88,1199.0800000000002,2090.69,772.83,10497.42,494.47,189.69,252.01,1485.21,25116.06,223.32,2442.69,4347.22,3115.3599999999997
44,65,2,0,93406.0,151935.0,801,3,25200.0,47142.0,0.0,2024.0,2021.0,0.0,1,4603.12,1278.29,0.0,434.94,81.19,2144.0099999999998,4524.02,6246.35,5206.59,1387.08,30.49,884.28,10683.56,21133.25,1077.71,1900.21,4640.98,10510.62
78,68,11,0,22290.0,9235.0,716,6,0.0,60445.0,0.0,0.0,2024.0,0.0,0,4032.63,1873.8899999999999,0.0,216.51,322.05,184.23,1514.6200000000001,587.44,1060.15,463.07,21.86,337.24000000000007,14009.99,6494.02,148.9,1449.99,873.43,5391.35
40,64,12,1,35418.0,51741.0,660,6,6600.0,72663.0,66.0,2020.0,2024.0,2024.0,0,4826.65,2755.45,1156.27,507.69,0.0,0.0,0.0,366.31,1509.1899999999998,576.75,0.0,955.33,2058.44,8731.2,120.39,140.76,5531.49,3170.62
39,68,3,0,51465.0,0.0,702,2,12200.0,17612.0,0.0,2020.0,2024.0,0.0,1,1537.18,1696.5700000000002,85.17,528.73,1555.1100000000001,625.3,0.0,2041.36,1846.26,234.15000000000003,154.66,8734.82,4793.28,6466.24,8716.95,1449.3000000000002,10099.58,6355.31
51,72,10,0,34517.0,74143.0,645,2,0.0,18518.0,0.0,0.0,2024.0,0.0,1,3245.47,2118.56,0.0,437.97,29.67,169.96000000000004,5541.54,62.010000000000005,5099.39,1150.86,59.28,127.76,2500.84,6130.22,14.52,2312.24,3493.76,2395.0
20,71,6,0,31314.0,40331.0,721,4,14300.0,41724.0,0.0,2020.0,2024.0,0.0,1,,,,,,,,,,,,,,,,,,
23,65,4,0,47639.0,0.0,732,2,17300.0,3334.0,0.0,2022.0,2021.0,0.0,1,,,,,,,,,,,,,,,,,,
42,70,10,1,41997.0,0.0,704,3,25700.0,21587.0,0.0,2022.0,2013.0,0.0,1,5079.53,1189.85,0.0,214.50999999999996,0.0,1660.75,2700.59,890.31,8096.5199999999995,585.51,0.0,1094.22,3886.17,20180.01,966.1,481.52,20652.79,1802.27
54,67,10,0,38318.0,93284.0,748,6,24000.0,52340.0,0.0,2022.0,2024.0,0.0,1,2245.03,1101.1200000000001,0.0,473.82,90.63000000000007,0.0,1304.79,1457.9199999999998,2164.33,1897.05,83.46000000000001,495.52,284.1,7374.4,276.9,187.24,4335.12,1490.7399999999998
20,64,2,1,63292.0,145756.0,635,1,0.0,30637.0,0.0,0.0,2021.0,0.0,0,,,,,,,,,,,,,,,,,,
39,69,5,1,32801.0,44496.0,701,2,9100.0,0.0,69.0,2012.0,0.0,2022.0,1,,,,,,,,,,,,,,,,,,
37,66,12,1,41401.0,71180.0,580,1,14300.0,0.0,0.0,2024.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
48,73,12,1,53478.0,73030.0,674,3,26200.0,17252.0,0.0,2023.0,2024.0,0.0,0,951.5799999999999,5452.64,236.78,135.9,203.83,256.22,860.08,2256.7200000000003,5335.46,1825.1,0.0,1158.95,936.12,12196.87,0.0,2006.23,15615.88,4191.07
54,74,5,0,41957.0,151027.0,783,3,0.0,52996.0,0.0,0.0,2022.0,0.0,0,2413.57,266.2,0.0,0.0,162.51,0.0,171.49,0.0,1091.64,201.73,0.0,0.0,12376.69,1654.49,20.6,995.01,3144.79,4958.12
80,66,12,0,22326.0,1620.0,564,4,18700.0,37919.0,0.0,2024.0,2023.0,0.0,0,1146.8700000000001,200.7,0.0,113.9,269.54,112.74,114.86,2702.12,4430.1900000000005,1331.07,216.07,12473.12,777.96,7437.33,653.67,0.0,4898.77,4386.6
22,63,8,0,51613.0,62635.0,649,2,1500.0,6513.0,0.0,2021.0,2024.0,0.0,1,,,,,,,,,,,,,,,,,,
99,67,10,0,51110.0,3781.0,709,8,23000.0,114630.0,0.0,2020.0,2024.0,0.0,0,1555.85,1177.73,97.66,513.63,97.65,368.28,612.3299999999999,3676.93,21118.31,1488.31,66.13,1636.87,5341.43,16183.3,1692.26,363.47,34723.14,5674.34
37,63,1,1,25205.0,65179.0,688,1,0.0,0.0,83.0,0.0,0.0,2017.0,1,,,,,,,,,,,,,,,,,,
70,66,10,0,29164.0,19851.0,625,4,12200.0,51168.0,0.0,2021.0,2022.0,0.0,1,2242.07,1043.98,123.38000000000001,296.49,216.76,944.89,275.39,1066.98,3253.95,865.18,0.0,703.71,48.97,7412.88,1313.24,1637.1499999999999,3894.77,6055.28
82,67,8,0,21815.0,1597.0,498,5,28000.0,15272.0,0.0,2024.0,2024.0,0.0,1,2078.45,397.8,0.0,21.53,33.15,346.64,450.24,1323.29,3028.92,602.16,0.0,0.0,2774.2200000000003,4844.76,0.0,745.23,3285.31,1083.51
66,68,3,0,35560.0,60397.0,723,5,23900.0,1778.0,48.0,2023.0,2021.0,2012.0,0,4465.18,2292.24,0.0,1173.16,95.46000000000001,1535.3600000000001,243.47,3658.02,9208.21,173.74,42.08,1778.4099999999999,3831.83,20073.19,353.33,994.61,6623.85,2673.67
22,68,9,0,2026.0,1417.0,779,1,0.0,0.0,78.0,0.0,0.0,2019.0,1,,,,,,,,,,,,,,,,,,
31,69,5,1,59455.0,96224.0,557,1,11600.0,0.0,0.0,2023.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
47,68,9,1,25748.0,41455.0,738,3,5400.0,15216.0,0.0,2016.0,2024.0,0.0,0,3154.5099999999998,191.43,101.63,102.63,105.94,151.2,0.0,936.62,6181.6,437.92,12.51,1053.11,89.44,14790.49,173.84,204.82000000000002,8271.04,3508.44
29,60,4,1,32636.0,42290.0,782,1,0.0,9953.0,0.0,0.0,2023.0,0.0,1,,,,,,,,,,,,,,,,,,
24,65,6,1,23212.0,25138.0,799,3,0.0,29500.0,0.0,0.0,2022.0,0.0,1,574.26,347.42,0.0,124.08,0.0,186.89,0.0,245.52,1070.9,370.14,0.0,12598.87,178.1,2890.85,29.23,87.63999999999999,8283.21,2356.97
58,71,5,1,24155.0,2870.0,802,3,6300.0,20417.0,95.0,2022.0,2022.0,2008.0,1,5138.65,257.69,71.96,25.79,153.35,504.12,294.0,1360.37,6313.39,362.74,112.49,187.76,1061.65,14525.6,25.91,50.180000000000014,7897.33,86.21000000000001
22,68,8,1,33337.0,71679.0,712,1,4800.0,0.0,0.0,2024.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
35,67,6,1,30217.0,23394.0,705,4,0.0,47152.0,0.0,0.0,2023.0,0.0,1,4069.2400000000002,2042.98,0.0,458.09,171.86,543.21,334.05,755.05,2388.55,1184.27,0.0,449.32000000000005,6552.16,7630.77,968.09,977.0999999999999,7131.17,3010.61
63,62,8,1,12796.0,22192.0,644,3,0.0,36533.0,102.0,0.0,2015.0,2020.0,1,6859.03,1147.84,66.5,32.02,0.0,0.0,0.0,691.51,6780.87,1470.16,0.0,3659.77,1864.32,18997.52,303.02,0.0,1020.0,1890.63
38,72,10,0,72647.0,90579.0,739,1,19100.0,0.0,0.0,2020.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
76,68,10,0,31145.0,5132.0,689,4,9000.0,68073.0,0.0,2020.0,2024.0,0.0,1,2426.88,600.62,213.65,1250.04,1856.09,68.51,1702.3,2795.43,2879.4700000000003,3248.34,1348.67,631.43,1439.49,8280.59,104.14,989.8599999999999,4879.35,3814.2599999999998
33,69,8,0,28696.0,52910.0,686,4,13200.0,10198.0,0.0,2024.0,2024.0,2020.0,1,,,,,,,,,,,,,,,,,,
59,72,1,0,36760.0,95755.0,593,2,0.0,33969.0,0.0,0.0,2023.0,0.0,1,2020.81,120.14,233.51,802.79,170.32000000000002,231.08000000000004,4923.41,844.77,2791.58,774.74,13.62,17840.86,806.78,4665.0199999999995,112.59,519.49,7331.9,2049.71
25,67,8,0,88554.0,142154.0,701,2,0.0,63005.0,0.0,0.0,2020.0,0.0,0,,,,,,,,,,,,,,,,,,
69,66,12,0,99825.0,4344.0,685,4,61500.0,19959.0,0.0,2024.0,2023.0,0.0,0,46672.26,737.9300000000001,214.67000000000002,553.8199999999999,280.52,3048.37,7139.2,3841.25,35551.54,619.05,275.36,0.0,1298.8,103629.76,199.73000000000002,3794.8100000000004,14941.92,7482.38
69,60,3,0,32952.0,5077.0,765,1,0.0,9956.0,0.0,0.0,2023.0,0.0,1,,,,,,,,,,,,,,,,,,
80,67,4,0,16646.0,1639.0,590,2,16400.0,0.0,0.0,2024.0,0.0,0.0,1,7221.2699999999995,565.8299999999999,0.0,0.0,53.53,2348.76,1531.94,3389.37,6320.66,2250.84,90.16,13996.91,1811.2,20883.75,1868.53,1387.85,5378.15,4445.81
63,65,11,0,54095.0,76109.0,753,3,18800.0,38014.0,0.0,2006.0,2020.0,0.0,1,,,,,,,,,,,,,,,,,,
56,66,9,1,48944.0,79960.0,813,7,16200.0,134460.0,2.0,2016.0,2023.0,2024.0,1,4970.68,2188.4300000000003,2.94,1250.1499999999999,0.0,109.02,685.42,3458.54,1400.1000000000001,92.48,0.0,4385.74,1298.16,8642.04,0.0,553.96,4265.14,6508.05
18,62,1,0,30778.0,73680.0,681,1,5300.0,0.0,0.0,2023.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
32,67,7,0,33212.0,59638.0,649,1,0.0,7676.0,0.0,0.0,2024.0,0.0,1,,,,,,,,,,,,,,,,,,
41,71,3,0,34774.0,78060.0,850,5,8500.0,54977.0,0.0,2023.0,2023.0,0.0,1,1382.85,712.82,245.4,125.41000000000001,0.0,0.0,1558.35,163.64,1863.7,1640.96,0.0,411.77,742.43,4110.44,0.0,0.0,5748.24,3608.67
33,65,11,0,37384.0,49182.0,713,3,14300.0,4924.0,0.0,2024.0,2020.0,0.0,0,2910.87,550.51,0.0,410.48,0.0,620.6800000000001,2353.08,936.8299999999999,3557.76,172.72,0.0,190.86,15768.05,6724.46,580.56,223.01,5288.18,2510.83
54,68,8,1,37579.0,0.0,742,5,45900.0,0.0,0.0,2023.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,
52,60,10,1,29957.0,60321.0,624,5,9100.0,50375.0,0.0,2022.0,2024.0,0.0,1,2785.81,750.1899999999999,0.0,129.63,0.0,197.19,0.0,452.40999999999997,4994.52,358.06,0.0,647.9499999999999,760.9399999999999,5840.66,73.44999999999999,69.58,7544.63,1976.59
50,70,1,1,26758.0,41064.0,734,5,11000.0,9898.0,164.0,2015.0,2022.0,2022.0,0,1582.83,1658.19,210.5,41.73,110.29,110.95,253.52,124.19,1490.3400000000001,63.06,39.69,374.92,0.0,3749.56,61.45,952.0,3348.92,3385.67
50,68,11,0,38142.0,0.0,768,4,0.0,57708.0,0.0,0.0,2021.0,0.0,0,,,,,,,,,,,,,,,,,,
29,66,8,0,40005.0,37694.0,737,2,9300.0,27762.0,0.0,2020.0,2021.0,0.0,0,,,,,,,,,,,,,,,,,,
52,72,10,0,52186.0,42852.0,737,4,16000.0,46122.0,0.0,2022.0,2022.0,0.0,0,5688.81,7542.85,58.400000000000006,0.0,366.66,1454.18,667.4200000000001,791.98,871.5500000000001,652.8,510.15000000000003,2209.22,3030.94,5540.4800000000005,5923.38,1753.0,3655.91,3714.68
25,65,10,0,30004.0,67526.0,738,3,6900.0,20025.0,0.0,2021.0,2023.0,0.0,1,,,,,,,,,,,,,,,,,,
54,66,12,0,35114.0,24637.0,686,5,8900.0,53142.0,0.0,2022.0,2024.0,0.0,0,6640.79,10871.460000000001,255.63,202.5,0.0,315.21,0.0,887.88,3186.75,2246.36,0.0,41380.26,2414.13,20922.11,420.22,1114.07,8090.41,2375.45
74,71,1,0,39003.0,10793.0,788,5,28600.0,56837.0,0.0,2021.0,2023.0,0.0,0,5170.82,2764.91,123.9,59.66,38.57,371.49,3032.75,961.04,5109.87,2682.4,21.19,334.5,2231.61,9714.08,5355.54,900.54,6524.0199999999995,2635.85
47,65,12,0,34441.0,907.0,725,4,0.0,66913.0,0.0,0.0,2023.0,0.0,1,18137.56,593.23,174.54,0.0,1252.87,1369.48,5729.49,2059.41,3729.88,564.52,1196.24,11162.87,8413.16,27073.94,971.39,1043.76,8929.47,1856.8
61,69,7,1,101018.0,78115.0,748,6,33500.0,136218.0,52.0,2024.0,2024.0,2023.0,0,13383.67,4782.87,0.0,1205.51,457.36,1088.1799999999998,2830.95,1537.31,7198.84,796.09,327.67,3474.37,5848.01,10966.88,1239.66,165.18,12372.34,4637.35
31,68,8,1,67230.0,45269.0,685,2,0.0,37377.0,64.0,0.0,2024.0,2020.0,1,4579.21,2501.85,161.42000000000002,278.01000000000005,152.76999999999995,1634.54,3165.99,388.08,2109.5,398.99,0.0,18379.69,2670.55,7343.49,229.91,3756.27,6642.1,5102.69
20,71,1,1,30229.0,43239.0,595,3,0.0,20131.0,45.0,0.0,2021.0,2023.0,0,,,,,,,,,,,,,,,,,,
